City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,hohhot,40.8106,111.6522,279.18,33,59,3.64,CN,1697670869
277,east london,-33.0153,27.9116,292.16,82,97,5.81,ZA,1697670627
278,ouesso,1.6136,16.0517,294.69,99,98,0.97,CG,1697670588
279,sao felix do xingu,-6.6447,-51.995,304.18,33,70,0.44,BR,1697670871
280,mount pearl,47.5166,-52.7813,281.11,87,100,4.12,CA,1697670871
281,wonju,37.3514,127.9453,285.65,83,96,1.61,KR,1697670872
282,tralee,52.2704,-9.7026,284.37,97,53,2.07,IE,1697670872
283,nushki,29.5542,66.0215,293.24,40,15,2.23,PK,1697670872
284,gbely,48.718,17.1163,283.61,66,77,6.75,SK,1697670873
285,aoulef,26.9667,1.0833,301.94,17,8,3.81,DZ,1697670873
286,imbituba,-28.24,-48.6703,293.63,80,100,1.96,BR,1697670874
287,ilebo,-4.3167,20.5833,295.16,98,99,0.76,CD,1697670875
288,acarau,-2.8856,-40.12,299.12,80,9,5.52,BR,1697670875
289,puerto cabello,10.4731,-68.0125,303.9,82,24,5.46,VE,1697670875
290,inhambane,-23.865,35.3833,293.48,95,1,2.95,MZ,1697670877
291,puerto deseado,-47.7503,-65.8938,289.63,40,99,7.2,AR,1697670657
292,tomatlan,19.9333,-105.25,297.71,92,100,0.51,MX,1697670878
293,timimoun,29.2639,0.231,300.77,18,11,3.33,DZ,1697670879
294,olmos,-5.9847,-79.7453,295.87,56,53,3.41,PE,1697670879
295,mata-utu,-13.2816,-176.1745,300.31,79,93,10.71,WF,1697670879
296,ladario,-19.0047,-57.6017,305.43,33,80,1.64,BR,1697670880
297,lloydminster,53.2835,-110.0016,290.27,39,20,5.14,CA,1697670880
298,san patricio,28.017,-97.5169,301.12,48,4,6.12,US,1697670729
299,happy valley-goose bay,53.3168,-60.3315,278.7,71,8,2.71,CA,1697670637
300,soio,-6.1349,12.3689,298.42,86,95,3.25,AO,1697670881
301,ad dawadimi,24.5077,44.3924,295.79,16,0,8.08,SA,1697670882
302,antalaha,-14.9003,50.2788,295.45,93,50,1.37,MG,1697670882
303,alofi,-19.0595,-169.9187,300.09,47,40,8.23,NU,1697670874
304,mogocha,53.7333,119.7667,269.12,77,40,1.79,RU,1697670883
305,grants,35.1473,-107.8514,299.28,11,0,6.17,US,1697670883
306,coquimbo,-29.9533,-71.3436,289.0,67,0,4.63,CL,1697670883
307,quang ngai,15.1167,108.8,297.45,90,100,1.47,VN,1697670884
308,mpulungu,-8.7623,31.1141,298.13,67,47,2.32,ZM,1697670885
309,mary,37.0,62.5,290.49,54,0,2.84,TM,1697670885
310,floro,61.5996,5.0328,280.13,65,83,5.14,NO,1697670886
311,michurinsk,52.8978,40.4907,278.09,90,100,8.05,RU,1697670886
